post_shortcode,commenter_username,comment_text,comment_likes
DJI0kEQBLTg,<Profile alfianmktifjr (49285862141)>,"Sebagai alumni yang pernah mengikuti program PMM dan MSIB, saya merasa sangat prihatin dan kecewa atas keputusan dihapusnya dua program tersebut. Bagi saya, PMM dan MSIB bukan sekadar program kampus merdeka, tetapi merupakan ruang pembelajaran nyata yang berdampak besar pada pengembangan diri, wawasan kebangsaan, serta kesiapan karier mahasiswa.
Melalui PMM, saya belajar memahami keberagaman Indonesia dengan merasakan langsung kehidupan kampus di daerah lain, menjalin persahabatan lintas budaya, serta mengasah empati dan toleransi. Sedangkan melalui MSIB, saya mendapat kesempatan berharga untuk terjun langsung ke dunia industri, menerapkan ilmu di lapangan, dan membangun jejaring profesional yang sampai hari ini masih bermanfaat.
Penghapusan program ini bukan hanya kehilangan bagi mahasiswa, tetapi juga sebuah kemunduran dalam upaya mempersiapkan generasi muda yang adaptif, kolaboratif, dan siap menghadapi tantangan global. Saya berharap pemerintah dan pemangku kebijakan dapat mempertimbangkan kembali keputusan ini, karena program PMM dan MSIB telah memberi kontribusi nyata dalam mencetak sumber daya manusia unggul di Indonesia.",1493
DJI0kEQBLTg,<Profile nam_dosen (4198347476)>,"IISMA mungkin banyak pro-kontra ya, cuma PMM ini sayang sekali kalau dihilangkan. Saya sebagai dosen suka excited jika ada mahasiswa dari luar pulau belajar di kampus, sharing budaya, bertukar pikiran, dll.

Semoga nanti ada pengganti/diadakan lagi. :folded_hands:",396
DJI0kEQBLTg,<Profile belajarcarabelajar (12256352655)>,"RIP Studi Independen :broken_heart: Sebagai alumni stupen 2 periode dan bikin proyek berbeda, jujur itu sangat membantu banget buat bikin portofolio, apalagi bisa memberikan kebebasan belajar buat pesertanya (ga harus dikampus), harusnya terus dilanjutkan karena percaya gak percaya pendidikan semakin digital :pleading_face:",66
DJI0kEQBLTg,<Profile _wldn.p_ (13024605988)>,"PLSS BALIKIN PMM :loudly_crying_face:, WISHLIST AKU BGT ,Dari awal maba kmrn udh bertekad nyiapin diri buat nantinya coba menjadi bagian PMM , syg bgt dihapuss :face_holding_back_tears::broken_heart:, sedii sekaliii",2
DJI0kEQBLTg,<Profile yudikramdani (13710118382)>,"Bye bye merdeka belajar, beruntung bisa menjadi bagian dari era merdeka belajar:Indonesia:",418
DJI0kEQBLTg,<Profile angeloputra (4429648337)>,"PMM, IISMA, MSIB, KM dah ilang :crying_face:",855
DJI0kEQBLTg,<Profile riskaazul (4067955429)>,PMM4 menjadi pmm terakhir :crying_face:. Bangga dan menjadi sebuah kehormatan karena pernah menjadi bagian PMM 4:fire::red_heart:,306
DJI0kEQBLTg,<Profile _nofriyaldi (4333916107)>,"Aaaa Kampus Mengajar :face_holding_back_tears::face_holding_back_tears:saya Bersyukur bisa ikut Kampus Mengajar, sehingga saya mengetahui sedikit banyaknya permasalahan yang di hadapi oleh sekolah-sekolah 3T:folded_hands_light_skin_tone::smiling_face_with_halo:Sayang banget program KM tidak di lanjutkan :loudly_crying_face::face_holding_back_tears:Padahal KM sangat bagus untuk sekolah-sekolah 3T. Begitu banyak impact yang di rasakan oleh sekolah-sekolah yng sudah menjadi sasaran dari program Kampus Mengajar. Kolaborasi antara guru dan Mahasiswa yang di tempatkan di sekolah menjadi salah satu gerakan perubahan untuk pendidikan Indonesia ke depannya.

Kecewa dengan beberapa program MBKM tidak lanjut? Jawabannya sudah pasti kecewa, padahal mahasiswa yang belum merasakan program” MBKM menunggu-nunggu program ini. Tapi apa boleh buat, beda Menteri beda kebijakannya. 

Semoga kedepannya pendidikan di Indonesia makin maju dan jaya:smiling_face_with_halo::fire:Selamat Hari Pendidikan Nasional :rocket:#kampusberdampak",103
DJI0kEQBLTg,<Profile dikafitrilia_ (5326543368)>,Magang berdampak kapan di buka min (bertanya dengan nada lembut dan penuh harapan),51
DJI0kEQBLTg,<Profile nell_smnjtk (69936829410)>,"Please, revisi ulang adain PMM & MSIB :crying_face:",96
